name,depth,parent,part_file,config,part_path,mass,volume,density,com_x,com_y,com_z,Ixx,Iyy,Izz,Ixy,Ixz,Iyz,bbox_xmin,bbox_ymin,bbox_zmin,bbox_xmax,bbox_ymax,bbox_zmax,tx,ty,tz,R00,R01,R02,R10,R11,R12,R20,R21,R22
Assem4-2/A6M80-750H2A1-M17.STEP-1/2181000003______RSK1-H080A08B30S36.STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,2181000003______RSK1-H080A08B30S36.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\2181000003______RSK1-H080A08B30S36.STEP.SLDPRT,0.02135221692375174,2.135221692375174e-05,1000.0,0.10720124469913822,-0.0014669794664855192,-0.6814766749871071,2.3876966218137495e-05,1.2093705221794552e-05,1.3151283653585204e-05,9.766110708375314e-08,-3.359684105780951e-08,-5.361261353392953e-07,0.0966999999999881,-0.043004376695517044,-0.7207843766635582,0.11460194575681645,0.03843202500003627,-0.6409116233364391,0.09779999999998909,-0.0030679999999641354,-0.6808479999999988,-1.7457406694215667e-14,-6.982962677686291e-15,-1.0,-6.982962677686267e-15,1.0,-6.982962677686169e-15,1.0,6.9829626776861444e-15,-1.7457406694215714e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/2142000004__________RSK1-H080A08B30S36.STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,2142000004__________RSK1-H080A08B30S36.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\2142000004__________RSK1-H080A08B30S36.STEP.SLDPRT,0.3760489302487535,0.00037604893024875355,999.9999999999999,0.055843409930851524,-0.0030780276097181454,-0.6808512523519742,0.00037623366984776055,0.00037093894883930267,0.00037081643416250705,-1.782585123235409e-07,-3.6301396934029685e-08,-3.66187563159906e-08,0.0169999999999881,-0.043577602046200314,-0.7213576020446859,0.0941000249999901,0.03823200000003513,-0.6403383979551982,0.016999999999989093,-0.0030679999999656997,-0.6808479999999982,-1.7457406694215667e-14,-6.982962677686291e-15,-1.0,-6.982962677686267e-15,1.0,-6.982962677686169e-15,1.0,6.9829626776861444e-15,-1.7457406694215714e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/2174000003____________RSK1-H080A08B30S36.STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,2174000003____________RSK1-H080A08B30S36.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\2174000003____________RSK1-H080A08B30S36.STEP.SLDPRT,0.03399271035510112,3.399271035510112e-05,1000.0,0.09312000083990198,-0.003068921669503713,-0.6808470249322478,2.7448038050684066e-05,1.4214711560876149e-05,1.4214651611521088e-05,3.031965321112326e-11,-3.207035572541168e-11,-5.046700900979599e-10,0.0822999999999881,-0.0430575269610076,-0.7208375269610414,0.10050131573994947,0.03692152696107923,-0.6408584730389544,0.08229999999998909,-0.003067999999964244,-0.6808479999999981,-1.7457406694215667e-14,-6.982962677686291e-15,-1.0,-6.982962677686267e-15,1.0,-6.982962677686169e-15,1.0,6.9829626776861444e-15,-1.7457406694215714e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/3220000002______TC20x30x4(NBR).STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3220000002______TC20x30x4(NBR).STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3220000002______TC20x30x4(NBR).STEP.SLDPRT,0.0008649575555156345,8.649575555156345e-07,1000.0,0.01868890970430924,-0.0030679999999656945,-0.6808479999999981,1.4097753231946618e-07,7.157366526554204e-08,7.1573665265542e-08,4.808506450431353e-22,1.2154772247659559e-21,-1.394030684833976e-23,0.01649999999998881,-0.022669655441120234,-0.7004496554411527,0.02049999999998938,0.016533655441188858,-0.6612463445588436,0.020499999999989093,-0.0030679999999656754,-0.6808479999999981,-1.8800712670529246e-14,-2.366840201762605e-16,1.0,0.38304900806323156,-0.9237280213470707,6.982962677686169e-15,0.9237280213470707,0.38304900806323156,1.7457406694215714e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP-4,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,2.9268832639077632e-05,2.9268832639077632e-08,1000.0,0.09089854983044181,0.039593120960133184,-0.6840494513257607,1.1080941708993491e-10,3.536485776843505e-11,1.108113059434867e-10,2.4454414416932258e-17,5.557090193647562e-16,-2.955579880869991e-17,0.08813032283111939,0.03543200000003482,-0.6868176771688681,0.0936667758028603,0.042024982784622834,-0.6812812241971271,0.09089854931698983,0.04203200000003483,-0.6840494506829976,-0.5469441386040037,0.8371691043312125,-4.982962677686308e-15,-9.66521111710783e-15,2.663010380596217e-17,1.0,0.8371691043312125,0.5469441386040037,7.982962677686179e-15
Assem4-2/A6M80-750H2A1-M17.STEP-1/3130000002______B6x6x22(GBT1096-2003 __________M3).STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3130000002______B6x6x22(GBT1096-2003 __________M3).STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3130000002______B6x6x22(GBT1096-2003 __________M3).STEP.SLDPRT,0.00078496,7.849600000000001e-07,1000.0,-0.004000000000010748,-0.0030679999999657834,-0.6898479999999987,4.636168533333333e-09,3.397813759999999e-08,3.397813759999999e-08,-2.0396063436538962e-22,-5.133150864341884e-22,1.1422857353399928e-25,-0.01500000000001082,-0.006067999999965881,-0.6928479999999989,0.006999999999989324,-6.799999996568579e-05,-0.6868479999999985,0.006999999999989251,-0.0030679999999657067,-0.6898479999999985,-1.0,1.7457406694215667e-14,6.982962677686291e-15,-6.982962677686169e-15,6.982962677686267e-15,-1.0,-1.7457406694215714e-14,-1.0,-6.9829626776861444e-15
Assem4-2/A6M80-750H2A1-M17.STEP-1/2151000006____RSK1-H080A08B30S36.STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,2151000006____RSK1-H080A08B30S36.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\2151000006____RSK1-H080A08B30S36.STEP.SLDPRT,0.011006025799846499,1.10060257998465e-05,999.9999999999999,0.00681939031355322,-0.0030680000956305234,-0.6804993426264561,5.174586980566372e-07,1.8254430443884646e-06,1.8552941835584573e-06,-4.049431793206294e-14,-3.583895850972034e-08,1.891818823918468e-14,-0.01500000000001115,-0.013067999999965992,-0.6908479999999989,0.02629999999998934,0.006932000000034435,-0.670847999999998,-0.015000000000010907,-0.003067999999965923,-0.6808479999999988,-6.982962677686291e-15,1.7457406694215667e-14,-1.0,1.0,6.982962677686267e-15,-6.982962677686169e-15,6.9829626776861444e-15,-1.0,-1.7457406694215714e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,0.0001326739194946088,1.326739194946088e-07,999.9999999999999,0.09579791154404466,0.01783200000003458,-0.6446481381218068,3.3577445916013905e-10,2.13831213082892e-09,2.13831213082892e-09,-1.034649222200325e-24,-2.6283249166767187e-23,-4.10919252865362e-26,0.08779999999998825,0.014093155238346741,-0.6483869828834947,0.1007999999999884,0.021570844761722448,-0.6409092933601188,0.10079999999998832,0.017832000000034633,-0.6446481381218067,-1.3575548034557484e-14,-1.287755091496194e-14,1.0,0.8744322306243049,-0.4851476827167193,5.623382764345144e-15,0.4851476827167193,0.8744322306243049,1.78466912421233e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/______________.STEP-1,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,______________.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\______________.STEP.SLDPRT,0.0008418474415139885,8.418474415139886e-07,1000.0,0.10760702771828441,0.04021951062646455,-0.6938479999999952,3.246151861454704e-08,4.150488115147677e-08,1.2798887647995658e-08,1.3206023797824728e-11,3.4458139089738427e-22,1.807488440011035e-21,0.10059999999998878,0.03843200000003624,-0.7053479999999954,0.11459999999998924,0.044382000000037794,-0.6823479999999948,0.10759999999998902,0.03843200000003702,-0.6938479999999954,-1.0,-6.9829626776872686e-15,1.7457406694215276e-14,-6.982962677686169e-15,1.0,6.298296267768627e-14,-1.7457406694215714e-14,6.298296267768614e-14,-1.0
Assem4-2/A6M80-750H2A1-M17.STEP-1/3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP-2,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,0.0001326739194946088,1.326739194946088e-07,999.9999999999999,0.10239791154404479,0.03313186187822474,-0.6599479999999955,3.3577445916013905e-10,2.1383121308289198e-09,2.1383121308289198e-09,-9.120119243995184e-24,-2.1197897075191423e-23,6.31829766516758e-26,0.09439999999998842,0.029538225047346357,-0.663541636830874,0.10739999999998852,0.03672549870910311,-0.6563543631691171,0.10739999999998846,0.03313186187822478,-0.6599479999999954,-1.8800712670529246e-14,-2.366840201762605e-16,1.0,0.38304900806323156,-0.9237280213470707,6.982962677686169e-15,0.9237280213470707,0.38304900806323156,1.7457406694215714e-14
